Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FS","Suite of Food Security Indicators","110","Japan","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20002002","2000-2002","%","<2.5","F","FAO estimate",""
"FS","Suite of Food Security Indicators","110","Japan","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20012003","2001-2003","%","<2.5","F","FAO estimate",""
"FS","Suite of Food Security Indicators","110","Japan","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20022004","2002-2004","%","<2.5","F","FAO estimate",""
"FS","Suite of Food Security Indicators","110","Japan","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20032005","2003-2005","%","<2.5","F","FAO estimate",""
"FS","Suite of Food Security Indicators","110","Japan","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20042006","2004-2006","%","<2.5","F","FAO estimate",""
"FS","Suite of Food Security Indicators","110","Japan","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20052007","2005-2007","%","<2.5","F","FAO estimate",""
"FS","Suite of Food Security Indicators","110","Japan","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20062008","2006-2008","%","<2.5","F","FAO estimate",""
"FS","Suite of Food Security Indicators","110","Japan","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20072009","2007-2009","%","<2.5","F","FAO estimate",""
"FS","Suite of Food Security Indicators","110","Japan","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20082010","2008-2010","%","2.6","F","FAO estimate",""
"FS","Suite of Food Security Indicators","110","Japan","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20092011","2009-2011","%","2.7","F","FAO estimate",""
"FS","Suite of Food Security Indicators","110","Japan","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20102012","2010-2012","%","<2.5","F","FAO estimate",""
"FS","Suite of Food Security Indicators","110","Japan","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20112013","2011-2013","%","<2.5","F","FAO estimate",""
"FS","Suite of Food Security Indicators","110","Japan","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20122014","2012-2014","%","<2.5","F","FAO estimate",""
"FS","Suite of Food Security Indicators","110","Japan","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20132015","2013-2015","%","<2.5","F","FAO estimate",""
"FS","Suite of Food Security Indicators","110","Japan","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20142016","2014-2016","%","<2.5","F","FAO estimate",""
"FS","Suite of Food Security Indicators","110","Japan","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20152017","2015-2017","%","<2.5","F","FAO estimate",""
"FS","Suite of Food Security Indicators","110","Japan","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20162018","2016-2018","%","<2.5","F","FAO estimate",""
"FS","Suite of Food Security Indicators","110","Japan","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20172019","2017-2019","%","<2.5","F","FAO estimate",""
"FS","Suite of Food Security Indicators","110","Japan","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20182020","2018-2020","%","<2.5","F","FAO estimate",""
"FS","Suite of Food Security Indicators","110","Japan","6121","Value","210401","Prevalence of severe food insecurity in the total population (percent) (3-year average)","20142016","2014-2016","%","<0.5","F","FAO estimate",""
"FS","Suite of Food Security Indicators","110","Japan","6121","Value","210401","Prevalence of severe food insecurity in the total population (percent) (3-year average)","20152017","2015-2017","%","<0.5","F","FAO estimate",""
"FS","Suite of Food Security Indicators","110","Japan","6121","Value","210401","Prevalence of severe food insecurity in the total population (percent) (3-year average)","20162018","2016-2018","%","0.5","F","FAO estimate",""
"FS","Suite of Food Security Indicators","110","Japan","6121","Value","210401","Prevalence of severe food insecurity in the total population (percent) (3-year average)","20172019","2017-2019","%","0.7","F","FAO estimate",""
"FS","Suite of Food Security Indicators","110","Japan","6121","Value","210401","Prevalence of severe food insecurity in the total population (percent) (3-year average)","20182020","2018-2020","%","0.7","F","FAO estimate",""
"FS","Suite of Food Security Indicators","110","Japan","6121","Value","210091","Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average)","20142016","2014-2016","%","2.6","F","FAO estimate",""
"FS","Suite of Food Security Indicators","110","Japan","6121","Value","210091","Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average)","20152017","2015-2017","%","2.7","F","FAO estimate",""
"FS","Suite of Food Security Indicators","110","Japan","6121","Value","210091","Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average)","20162018","2016-2018","%","3.2","F","FAO estimate",""
"FS","Suite of Food Security Indicators","110","Japan","6121","Value","210091","Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average)","20172019","2017-2019","%","3.2","F","FAO estimate",""
"FS","Suite of Food Security Indicators","110","Japan","6121","Value","210091","Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average)","20182020","2018-2020","%","3.4","F","FAO estimate",""
"FS","Suite of Food Security Indicators","110","Japan","6132","Value","210071","Number of severely food insecure people (million) (3-year average)","20142016","2014-2016","millions","0.5","F","FAO estimate",""
"FS","Suite of Food Security Indicators","110","Japan","6132","Value","210071","Number of severely food insecure people (million) (3-year average)","20152017","2015-2017","millions","0.5","F","FAO estimate",""
"FS","Suite of Food Security Indicators","110","Japan","6132","Value","210071","Number of severely food insecure people (million) (3-year average)","20162018","2016-2018","millions","0.7","F","FAO estimate",""
"FS","Suite of Food Security Indicators","110","Japan","6132","Value","210071","Number of severely food insecure people (million) (3-year average)","20172019","2017-2019","millions","0.9","F","FAO estimate",""
"FS","Suite of Food Security Indicators","110","Japan","6132","Value","210071","Number of severely food insecure people (million) (3-year average)","20182020","2018-2020","millions","0.8","F","FAO estimate",""
"FS","Suite of Food Security Indicators","110","Japan","6132","Value","210081","Number of moderately or severely food insecure people (million) (3-year average)","20142016","2014-2016","millions","3.3","F","FAO estimate",""
"FS","Suite of Food Security Indicators","110","Japan","6132","Value","210081","Number of moderately or severely food insecure people (million) (3-year average)","20152017","2015-2017","millions","3.4","F","FAO estimate",""
"FS","Suite of Food Security Indicators","110","Japan","6132","Value","210081","Number of moderately or severely food insecure people (million) (3-year average)","20162018","2016-2018","millions","4","F","FAO estimate",""
"FS","Suite of Food Security Indicators","110","Japan","6132","Value","210081","Number of moderately or severely food insecure people (million) (3-year average)","20172019","2017-2019","millions","4","F","FAO estimate",""
"FS","Suite of Food Security Indicators","110","Japan","6132","Value","210081","Number of moderately or severely food insecure people (million) (3-year average)","20182020","2018-2020","millions","4.3","F","FAO estimate",""
"FS","Suite of Food Security Indicators","110","Japan","6132","Value","210260","Number of children under 5 years affected by wasting (million)","2010","2010","millions","0.1","X","International reliable sources",""
