Domain,Area,Element,Item,Year,Unit,Value
"Soil nutrient budget","Pakistan","Cropland nutrient flow","Synthetic Fertilizers","2000","tonnes","2264600"
"Soil nutrient budget","Pakistan","Cropland nutrient flow","Synthetic Fertilizers","2001","tonnes","2291610"
"Soil nutrient budget","Pakistan","Cropland nutrient flow","Synthetic Fertilizers","2002","tonnes","2384980"
"Soil nutrient budget","Pakistan","Cropland nutrient flow","Synthetic Fertilizers","2003","tonnes","2456009"
"Soil nutrient budget","Pakistan","Cropland nutrient flow","Synthetic Fertilizers","2004","tonnes","2570230"
"Soil nutrient budget","Pakistan","Cropland nutrient flow","Synthetic Fertilizers","2005","tonnes","2818779"
"Soil nutrient budget","Pakistan","Cropland nutrient flow","Synthetic Fertilizers","2006","tonnes","2868984"
"Soil nutrient budget","Pakistan","Cropland nutrient flow","Synthetic Fertilizers","2007","tonnes","2714053"
"Soil nutrient budget","Pakistan","Cropland nutrient flow","Synthetic Fertilizers","2008","tonnes","2928057"
"Soil nutrient budget","Pakistan","Cropland nutrient flow","Synthetic Fertilizers","2009","tonnes","3451900"
"Soil nutrient budget","Pakistan","Cropland nutrient flow","Synthetic Fertilizers","2010","tonnes","3270531"
"Soil nutrient budget","Pakistan","Cropland nutrient flow","Synthetic Fertilizers","2011","tonnes","3187339"
"Soil nutrient budget","Pakistan","Cropland nutrient flow","Synthetic Fertilizers","2012","tonnes","2850771"
"Soil nutrient budget","Pakistan","Cropland nutrient flow","Synthetic Fertilizers","2013","tonnes","3239557"
"Soil nutrient budget","Pakistan","Cropland nutrient flow","Synthetic Fertilizers","2014","tonnes","3139263"
"Soil nutrient budget","Pakistan","Cropland nutrient flow","Synthetic Fertilizers","2015","tonnes","3160507"
"Soil nutrient budget","Pakistan","Cropland nutrient flow","Synthetic Fertilizers","2016","tonnes","3241907"
"Soil nutrient budget","Pakistan","Cropland nutrient flow","Synthetic Fertilizers","2017","tonnes","3446922"
"Soil nutrient budget","Pakistan","Cropland nutrient flow","Synthetic Fertilizers","2018","tonnes","3446922"
"Soil nutrient budget","Pakistan","Cropland nutrient flow per unit area","Synthetic Fertilizers","2000","kg/ha","71.443"
"Soil nutrient budget","Pakistan","Cropland nutrient flow per unit area","Synthetic Fertilizers","2001","kg/ha","71.6755"
"Soil nutrient budget","Pakistan","Cropland nutrient flow per unit area","Synthetic Fertilizers","2002","kg/ha","74.8018"
"Soil nutrient budget","Pakistan","Cropland nutrient flow per unit area","Synthetic Fertilizers","2003","kg/ha","77.1311"
"Soil nutrient budget","Pakistan","Cropland nutrient flow per unit area","Synthetic Fertilizers","2004","kg/ha","82.7905"
"Soil nutrient budget","Pakistan","Cropland nutrient flow per unit area","Synthetic Fertilizers","2005","kg/ha","91.0311"
"Soil nutrient budget","Pakistan","Cropland nutrient flow per unit area","Synthetic Fertilizers","2006","kg/ha","92.1466"
"Soil nutrient budget","Pakistan","Cropland nutrient flow per unit area","Synthetic Fertilizers","2007","kg/ha","87.5134"
"Soil nutrient budget","Pakistan","Cropland nutrient flow per unit area","Synthetic Fertilizers","2008","kg/ha","96.5941"
"Soil nutrient budget","Pakistan","Cropland nutrient flow per unit area","Synthetic Fertilizers","2009","kg/ha","114.0106"
"Soil nutrient budget","Pakistan","Cropland nutrient flow per unit area","Synthetic Fertilizers","2010","kg/ha","108.1453"
"Soil nutrient budget","Pakistan","Cropland nutrient flow per unit area","Synthetic Fertilizers","2011","kg/ha","103.0301"
"Soil nutrient budget","Pakistan","Cropland nutrient flow per unit area","Synthetic Fertilizers","2012","kg/ha","91.7738"
"Soil nutrient budget","Pakistan","Cropland nutrient flow per unit area","Synthetic Fertilizers","2013","kg/ha","103.5664"
"Soil nutrient budget","Pakistan","Cropland nutrient flow per unit area","Synthetic Fertilizers","2014","kg/ha","100.45"
"Soil nutrient budget","Pakistan","Cropland nutrient flow per unit area","Synthetic Fertilizers","2015","kg/ha","101.2918"
"Soil nutrient budget","Pakistan","Cropland nutrient flow per unit area","Synthetic Fertilizers","2016","kg/ha","101.966"
"Soil nutrient budget","Pakistan","Cropland nutrient flow per unit area","Synthetic Fertilizers","2017","kg/ha","107.7062"
"Soil nutrient budget","Pakistan","Cropland nutrient flow per unit area","Synthetic Fertilizers","2018","kg/ha","110.1253"
"Soil nutrient budget","Pakistan","Cropland nutrient flow","Manure applied to Soils","2000","tonnes","421731.7475"
"Soil nutrient budget","Pakistan","Cropland nutrient flow","Manure applied to Soils","2001","tonnes","432146.0462"
"Soil nutrient budget","Pakistan","Cropland nutrient flow","Manure applied to Soils","2002","tonnes","446256.1691"
"Soil nutrient budget","Pakistan","Cropland nutrient flow","Manure applied to Soils","2003","tonnes","458482.8008"
"Soil nutrient budget","Pakistan","Cropland nutrient flow","Manure applied to Soils","2004","tonnes","469367.41"
"Soil nutrient budget","Pakistan","Cropland nutrient flow","Manure applied to Soils","2005","tonnes","480895.6917"
"Soil nutrient budget","Pakistan","Cropland nutrient flow","Manure applied to Soils","2006","tonnes","523635.922"
"Soil nutrient budget","Pakistan","Cropland nutrient flow","Manure applied to Soils","2007","tonnes","541563.065"
"Soil nutrient budget","Pakistan","Cropland nutrient flow","Manure applied to Soils","2008","tonnes","560398.1897"
"Soil nutrient budget","Pakistan","Cropland nutrient flow","Manure applied to Soils","2009","tonnes","580275.6559"
"Soil nutrient budget","Pakistan","Cropland nutrient flow","Manure applied to Soils","2010","tonnes","589769.7237"
"Soil nutrient budget","Pakistan","Cropland nutrient flow","Manure applied to Soils","2011","tonnes","623513.9111"
"Soil nutrient budget","Pakistan","Cropland nutrient flow","Manure applied to Soils","2012","tonnes","646223.3283"
"Soil nutrient budget","Pakistan","Cropland nutrient flow","Manure applied to Soils","2013","tonnes","665142.6304"
"Soil nutrient budget","Pakistan","Cropland nutrient flow","Manure applied to Soils","2014","tonnes","690238.5585"
"Soil nutrient budget","Pakistan","Cropland nutrient flow","Manure applied to Soils","2015","tonnes","716796.352"
"Soil nutrient budget","Pakistan","Cropland nutrient flow","Manure applied to Soils","2016","tonnes","742600.9433"
"Soil nutrient budget","Pakistan","Cropland nutrient flow","Manure applied to Soils","2017","tonnes","760453.6576"
"Soil nutrient budget","Pakistan","Cropland nutrient flow","Manure applied to Soils","2018","tonnes","786241.1064"
"Soil nutrient budget","Pakistan","Cropland nutrient flow per unit area","Manure applied to Soils","2000","kg/ha","13.3047"
"Soil nutrient budget","Pakistan","Cropland nutrient flow per unit area","Manure applied to Soils","2001","kg/ha","13.5164"
"Soil nutrient budget","Pakistan","Cropland nutrient flow per unit area","Manure applied to Soils","2002","kg/ha","13.9962"
"Soil nutrient budget","Pakistan","Cropland nutrient flow per unit area","Manure applied to Soils","2003","kg/ha","14.3987"
"Soil nutrient budget","Pakistan","Cropland nutrient flow per unit area","Manure applied to Soils","2004","kg/ha","15.1189"
"Soil nutrient budget","Pakistan","Cropland nutrient flow per unit area","Manure applied to Soils","2005","kg/ha","15.5303"
"Soil nutrient budget","Pakistan","Cropland nutrient flow per unit area","Manure applied to Soils","2006","kg/ha","16.8182"
"Soil nutrient budget","Pakistan","Cropland nutrient flow per unit area","Manure applied to Soils","2007","kg/ha","17.4625"
"Soil nutrient budget","Pakistan","Cropland nutrient flow per unit area","Manure applied to Soils","2008","kg/ha","18.4871"
"Soil nutrient budget","Pakistan","Cropland nutrient flow per unit area","Manure applied to Soils","2009","kg/ha","19.1656"
"Soil nutrient budget","Pakistan","Cropland nutrient flow per unit area","Manure applied to Soils","2010","kg/ha","19.5017"
"Soil nutrient budget","Pakistan","Cropland nutrient flow per unit area","Manure applied to Soils","2011","kg/ha","20.155"
"Soil nutrient budget","Pakistan","Cropland nutrient flow per unit area","Manure applied to Soils","2012","kg/ha","20.8036"
"Soil nutrient budget","Pakistan","Cropland nutrient flow per unit area","Manure applied to Soils","2013","kg/ha","21.2642"
"Soil nutrient budget","Pakistan","Cropland nutrient flow per unit area","Manure applied to Soils","2014","kg/ha","22.0862"
"Soil nutrient budget","Pakistan","Cropland nutrient flow per unit area","Manure applied to Soils","2015","kg/ha","22.9728"
"Soil nutrient budget","Pakistan","Cropland nutrient flow per unit area","Manure applied to Soils","2016","kg/ha","23.3566"
"Soil nutrient budget","Pakistan","Cropland nutrient flow per unit area","Manure applied to Soils","2017","kg/ha","23.7619"
"Soil nutrient budget","Pakistan","Cropland nutrient flow per unit area","Manure applied to Soils","2018","kg/ha","25.1195"
"Soil nutrient budget","Pakistan","Cropland nutrient flow","Atmospheric Deposition","2000","tonnes","492269.94"
"Soil nutrient budget","Pakistan","Cropland nutrient flow","Atmospheric Deposition","2001","tonnes","504614.076"
"Soil nutrient budget","Pakistan","Cropland nutrient flow","Atmospheric Deposition","2002","tonnes","511674.432"
"Soil nutrient budget","Pakistan","Cropland nutrient flow","Atmospheric Deposition","2003","tonnes","519279.336"
"Soil nutrient budget","Pakistan","Cropland nutrient flow","Atmospheric Deposition","2004","tonnes","514167.29"
"Soil nutrient budget","Pakistan","Cropland nutrient flow","Atmospheric Deposition","2005","tonnes","520893.23"
"Soil nutrient budget","Pakistan","Cropland nutrient flow","Atmospheric Deposition","2006","tonnes","532003.745"
"Soil nutrient budget","Pakistan","Cropland nutrient flow","Atmospheric Deposition","2007","tonnes","537796.433"
"Soil nutrient budget","Pakistan","Cropland nutrient flow","Atmospheric Deposition","2008","tonnes","533902.869"
"Soil nutrient budget","Pakistan","Cropland nutrient flow","Atmospheric Deposition","2009","tonnes","541625.253"
"Soil nutrient budget","Pakistan","Cropland nutrient flow","Atmospheric Deposition","2010","tonnes","548862.058"
"Soil nutrient budget","Pakistan","Cropland nutrient flow","Atmospheric Deposition","2011","tonnes","569129.592"
