Domain Code,Domain,Area Code (M49),Area,Year Code,Year,Item Code,Item,Months Code,Months,Unit,Value,Flag,Flag Description,Note
CP,Consumer Price Indices,586,Pakistan,2015,2015,23014,Food price inflation,7001,Jan,%,2.127355,Fc,Calculated data,
CP,Consumer Price Indices,586,Pakistan,2016,2016,23014,Food price inflation,7001,Jan,%,1.214329,Fc,Calculated data,
CP,Consumer Price Indices,586,Pakistan,2017,2017,23014,Food price inflation,7001,Jan,%,1.961146,Fc,Calculated data,
CP,Consumer Price Indices,586,Pakistan,2018,2018,23014,Food price inflation,7001,Jan,%,5.100471,Fc,Calculated data,
CP,Consumer Price Indices,586,Pakistan,2019,2019,23014,Food price inflation,7001,Jan,%,1.584636,Fc,Calculated data,
CP,Consumer Price Indices,586,Pakistan,2020,2020,23014,Food price inflation,7001,Jan,%,23.364694,Fc,Calculated data,
CP,Consumer Price Indices,586,Pakistan,2021,2021,23014,Food price inflation,7001,Jan,%,6.679107,Fc,Calculated data,
CP,Consumer Price Indices,586,Pakistan,2015,2015,23014,Food price inflation,7002,Feb,%,1.19128,Fc,Calculated data,
CP,Consumer Price Indices,586,Pakistan,2016,2016,23014,Food price inflation,7002,Feb,%,2.4689,Fc,Calculated data,
CP,Consumer Price Indices,586,Pakistan,2017,2017,23014,Food price inflation,7002,Feb,%,3.10247,Fc,Calculated data,
CP,Consumer Price Indices,586,Pakistan,2018,2018,23014,Food price inflation,7002,Feb,%,3.41514,Fc,Calculated data,
CP,Consumer Price Indices,586,Pakistan,2019,2019,23014,Food price inflation,7002,Feb,%,4.519478,Fc,Calculated data,
CP,Consumer Price Indices,586,Pakistan,2020,2020,23014,Food price inflation,7002,Feb,%,19.047163,Fc,Calculated data,
CP,Consumer Price Indices,586,Pakistan,2021,2021,23014,Food price inflation,7002,Feb,%,9.740263,Fc,Calculated data,
CP,Consumer Price Indices,586,Pakistan,2015,2015,23014,Food price inflation,7003,Mar,%,-0.476483,Fc,Calculated data,
CP,Consumer Price Indices,586,Pakistan,2016,2016,23014,Food price inflation,7003,Mar,%,2.450702,Fc,Calculated data,
