"customdata","ids","labels","parents","colors"
" ","Machine Learning","Machine Learning","None","white"
" ","Supervised","Supervised","Machine Learning","#EF553B"
" ","Regression","Regression","Supervised","rgb(251,128,114)"
"Article on: https://solclover.com","Linear Regression","Linear Regression","Regression","rgb(251,128,114)"
"Article on: https://solclover.com","Multivariate Adaptive Regression Splines (MARS)","Multivariate<br>Adaptive Regression<br>Splines (MARS)","Regression","rgb(251,128,114)"
"Article on: https://solclover.com","Locally Weighted Scatterplot Smoothing (LOWESS)","Locally Weighted<br>Scatterplot<br>Smoothing (LOWESS)","Regression","rgb(251,128,114)"
"Article on: https://solclover.com","Support Vector Regression (SVR)","Support Vector<br>Regression (SVR)","Regression","rgb(251,128,114)"
"Article on: https://solclover.com","Decision Tree Regression","Decision Tree<br>Regression (CART)","Regression","rgb(251,128,114)"
"Article on: https://solclover.com","Random Forest Regression","Random Forest<br>Regression","Regression","rgb(251,128,114)"
"Article on: https://solclover.com","K-Nearest Neighbors Regression (KNN)","K-Nearest Neighbors<br>Regression (KNN)","Regression","rgb(251,128,114)"
" ","Classification","Classification","Supervised","#ba2020"
"Article on: https://solclover.com","Logistic Regression","Logistic Regression","Classification","#ba2020"
"Article on: https://solclover.com","Naive Bayes","Naive Bayes","Classification","#ba2020"
"Article on: https://solclover.com","Support Vector Machines (SVM)","Support Vector<br>Machines (SVM)","Classification","#ba2020"
"Article on: https://solclover.com","Decision Tree Classification","Decision Tree<br>Classification<br>(CART)","Classification","#ba2020"
"Article on: https://solclover.com","Random Forest Classification","Random Forest<br>Classification","Classification","#ba2020"
"Article on: https://solclover.com","Adaptive Boosting (AdaBoost)","Adaptive Boosting<br>(AdaBoost)","Classification","#ba2020"
"Article on: https://solclover.com","Gradient Boosted Trees","Gradient Boosted<br>Trees","Classification","#ba2020"
"Article on: https://solclover.com","Extreme Gradient Boosting (XGBoost)","Extreme Gradient<br>Boosting (XGBoost)","Classification","#ba2020"
"Article on: https://solclover.com","K-Nearest Neighbors Classification (KNN)","K-Nearest Neighbors<br>Classification (KNN)","Classification","#ba2020"
" ","Dimensionality Reduction ","Dimensionality<br>Reduction","Supervised","rgb(252,195,195)"
"Article on: https://solclover.com","Linear Discriminant Analysis (LDA)","Linear Discriminant<br>Analysis (LDA)","Dimensionality Reduction ","rgb(252,195,195)"
" ","Unsupervised","Unsupervised","Machine Learning","#00CC96"
" ","Clustering","Clustering","Unsupervised","rgb(204,235,197)"
"Article on: https://solclover.com","K-Means","K-Means","Clustering","rgb(204,235,197)"
"Article on: https://solclover.com","Gaussian Mixture Models (GMM)","Gaussian Mixture<br>Models (GMM)","Clustering","rgb(204,235,197)"
"Article on: https://solclover.com","Hierarchical Agglomerative Clustering (HAC)","Hierarchical<br>Agglomerative<br>Clustering (HAC)","Clustering","rgb(204,235,197)"
"Article on: https://solclover.com","Density-Based Spatial Clustering of Applications with Noise (DBSCAN)","Density-Based<br>Spatial Clustering<br>of Applications with<br>Noise (DBSCAN)","Clustering","rgb(204,235,197)"
" ","Association","Association","Unsupervised","rgb(141,211,199)"
